experiment,package,energy
groupby,polars,182.3499085000007
groupby,pandas,855.2455410000043
read_write,vaex,2759.8949264999987
merge,vaex,1928.5658829999988
merge,pandas,3596.7592995000086
read_write,polars,258.855088
read_write,dask,2463.6278405000053
groupby,polars,217.10198549999942
groupby,vaex,877.3241009999946
read_write,polars,266.32084650000985
read_write,vaex,3192.5459410000094
merge,polars,1133.8625245000044
groupby,dask,230.73323199999206
groupby,polars,219.67547199999632
read_write,vaex,2653.6404600000164
read_write,vaex,3034.836725000009
groupby,dask,256.23606050000177
groupby,vaex,867.9935369999876
groupby,pandas,927.8106169999978
groupby,pandas,1004.6079499999981
read_write,pandas,2207.339004500015
read_write,dask,2390.618196500001
groupby,vaex,852.5100455000061
merge,dask,7.173002999999662
merge,vaex,1789.7766255000024
read_write,dask,2564.514545999996
merge,polars,1163.2062124999989
groupby,polars,271.01037699998886
merge,pandas,3122.476065500019
groupby,dask,241.07494799997812
read_write,dask,2326.568807000015
read_write,pandas,2221.3216529999854
read_write,vaex,2735.7178139999914
groupby,pandas,951.9359564999979
groupby,dask,219.0894109999878
merge,polars,1155.2898369999893
merge,pandas,2782.6954230000174
read_write,polars,281.39535100000296
groupby,vaex,796.7995454999984
merge,dask,51.16249400001694
read_write,pandas,2059.7255680000044
merge,pandas,2858.2995394999707
merge,polars,1038.9191230000135
read_write,pandas,2109.567837500007
merge,pandas,2767.2359405000143
read_write,pandas,2099.024957000007
read_write,polars,242.02907949999832
merge,dask,4.727501499997722
read_write,dask,2413.853532499992
merge,vaex,1654.9412959999597
groupby,polars,235.09056399996572
merge,vaex,1637.4787250000595
read_write,polars,277.1917279999732
groupby,pandas,1247.0209555000042
groupby,vaex,867.148682000013
merge,polars,1063.4139845000084
merge,vaex,1730.7953624999782
groupby,dask,237.24607699999717
